
Train,11050,AHMEDABAD EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
8,WADI,WADI,1,07:15:00,07:20:00,5,596,2,
9,YG,YADGIR,1,07:50:00,07:52:00,2,635,2,
10,SADP,SAIDAPUR,1,08:08:00,08:10:00,2,658,2,
11,RC,RAICHUR,1,08:48:00,08:50:00,2,704,2,
12,MALM,MANTHRALAYAM RD,1,09:23:00,09:25:00,2,732,2,
13,AD,ADONI,1,09:58:00,10:00:00,2,773,2,
14,GTL,GUNTAKAL JN,1,11:00:00,11:15:00,15,825,2,
15,GY,GOOTY,1,11:40:00,11:42:00,2,853,2,
16,TU,TADIPATRI,1,12:23:00,12:25:00,2,901,2,
17,YA,YERRAGUNTLA,1,13:23:00,13:25:00,2,969,2,
18,HX,CUDDAPAH,1,14:08:00,14:10:00,2,1008,2,
19,RJP,RAZAMPETA,1,15:08:00,15:10:00,2,1059,2,
20,KOU,KODURU,1,15:38:00,15:40:00,2,1092,2,
21,RU,RENIGUNTA JN,1,16:45:00,17:00:00,15,1133,2,
22,AJJ,ARAKKONAM,1,18:03:00,18:05:00,2,1205,2,
23,PER,PERAMBUR,1,18:53:00,18:55:00,2,1268,2,
24,MS,CHENNAI EGMORE,1,19:45:00,Destination,0,1279,2,


Train,12164,CHENNAI EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,MS,CHENNAI EGMORE,1,Source,06:50:00,0,0,1,
2,RU,RENIGUNTA JN,1,09:20:00,09:25:00,5,147,1,
3,KOU,KODURU,1,10:14:00,10:15:00,1,188,1,
4,RJP,RAZAMPETA,1,10:39:00,10:40:00,1,221,1,
5,HX,CUDDAPAH,1,11:28:00,11:30:00,2,272,1,
6,YA,YERRAGUNTLA,1,12:09:00,12:10:00,1,311,1,
7,TU,TADIPATRI,1,13:14:00,13:15:00,1,380,1,
8,GY,GOOTY,1,14:14:00,14:15:00,1,428,1,
9,GTL,GUNTAKAL JN,1,14:45:00,15:00:00,15,457,1,
10,AD,ADONI,1,15:39:00,15:40:00,1,508,1,
11,MALM,MANTHRALAYAM RD,1,16:19:00,16:20:00,1,550,1,
12,RC,RAICHUR,1,16:48:00,16:50:00,2,578,1,
13,SADP,SAIDAPUR,1,17:29:00,17:30:00,1,623,1,
14,YG,YADGIR,1,17:54:00,17:55:00,1,646,1,
15,WADI,WADI,1,19:05:00,19:10:00,5,685,1,
16,SDB,SHAHABAD,1,19:22:00,19:23:00,1,696,1,
17,GR,GULBARGA,1,19:49:00,19:50:00,1,722,1,
18,SUR,SOLAPUR JN,1,21:50:00,22:00:00,10,835,1,
19,PUNE,PUNE JN,1,02:25:00,02:35:00,10,1098,2,
20,LNL,LONAVALA,1,03:34:00,03:35:00,1,1162,2,
21,KYN,KALYAN JN,1,05:04:00,05:05:00,1,1237,2,
22,DR,DADAR,1,06:00:00,Destination,0,1281,2,


Train,12175,CHAMBAL EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,HWH,HOWRAH JN,1,Source,17:45:00,0,0,1,
2,BWN,BARDDHAMAN JN,1,19:05:00,19:10:00,5,95,1,
3,DGR,DURGAPUR,1,19:52:00,19:54:00,2,158,1,
4,ASN,ASANSOL JN,1,20:42:00,20:47:00,5,200,1,
5,DHN,DHANBAD JN,1,22:17:00,22:22:00,5,259,1,
6,GMO,NSC BOSE J GOMO,1,22:51:00,23:01:00,10,288,1,
7,PNME,PARASNATH,1,23:20:00,23:21:00,1,306,1,
8,KQR,KODERMA,1,00:21:00,00:22:00,1,382,2,
9,GAYA,GAYA JN,1,01:45:00,01:55:00,10,458,2,
10,DOS,DEHRI ON SONE,1,02:56:00,02:58:00,2,543,2,
11,SSM,SASARAM,1,03:12:00,03:13:00,1,561,2,
12,BBU,BHABUA ROAD,1,03:45:00,03:46:00,1,608,2,
13,MGS,MUGHAL SARAI JN,1,04:50:00,05:05:00,15,661,2,
14,CAR,CHUNAR,1,05:41:00,05:42:00,1,693,2,
15,MZP,MIRZAPUR,1,06:12:00,06:13:00,1,724,2,
16,BDL,VINDHYACHAL,1,06:23:00,06:24:00,1,731,2,
17,COI,CHEOKI,1,07:50:00,08:10:00,20,804,2,
18,MKP,MANIKPUR JN,1,10:05:00,10:10:00,5,896,2,
19,CKTD,CHITRAKOT,1,10:35:00,10:36:00,1,928,2,
20,ATE,ATARRA,1,11:07:00,11:08:00,1,965,2,
21,BNDA,BANDA JN,1,11:40:00,11:50:00,10,996,2,
22,MBA,MAHOBA,1,12:32:00,12:33:00,1,1050,2,
23,KLAR,KULPAHAR,1,12:53:00,12:54:00,1,1071,2,
24,HPP,HARPALPUR,1,13:22:00,13:23:00,1,1103,2,
25,MRPR,MAU RANIPUR,1,13:44:00,13:45:00,1,1124,2,
26,NEW,NIVARI,1,14:14:00,14:15:00,1,1157,2,
27,BWR,BARWA SAGAR,1,14:28:00,14:30:00,2,1166,2,
28,JHS,JHANSI JN,1,15:30:00,15:40:00,10,1188,2,
29,DAA,DATIA,1,16:01:00,16:02:00,1,1213,2,
30,DBA,DABRA,1,16:26:00,16:27:00,1,1243,2,
31,GWL,GWALIOR,1,17:10:00,Destination,0,1285,2,


Train,11007,DECCAN EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,CSTM,MUMBAI CST,1,Source,07:00:00,0,0,1,
2,DR,DADAR,1,07:13:00,07:15:00,2,9,1,
3,TNA,THANE,1,07:33:00,07:35:00,2,34,1,
4,KYN,KALYAN JN,1,07:58:00,08:00:00,2,54,1,
5,NRL,NERAL,1,08:28:00,08:30:00,2,87,1,
6,KJT,KARJAT,1,08:48:00,08:50:00,2,100,1,
7,KAD,KHANDALA,1,09:30:00,09:32:00,2,124,1,
8,LNL,LONAVALA,1,09:38:00,09:40:00,2,128,1,
9,TGN,TALEGAON,1,10:08:00,10:10:00,2,158,1,
10,KK,KHADKI,1,10:44:00,10:46:00,2,186,1,
11,SVJR,SHIVAJINAGAR,1,10:49:00,10:51:00,2,190,1,
12,PUNE,PUNE JN,1,11:05:00,Destination,0,192,1,


Train,11008,DECCAN EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,PUNE,PUNE JN,1,Source,15:30:00,0,0,1,
2,SVJR,SHIVAJINAGAR,1,15:35:00,15:38:00,3,3,1,
3,KK,KHADKI,1,15:42:00,15:45:00,3,7,1,
4,TGN,TALEGAON,1,16:06:00,16:08:00,2,35,1,
5,LNL,LONAVALA,1,16:33:00,16:35:00,2,64,1,
6,KAD,KHANDALA,1,16:43:00,16:45:00,2,68,1,
7,KJT,KARJAT,1,17:28:00,17:30:00,2,92,1,
8,KYN,KALYAN JN,1,18:20:00,18:25:00,5,139,1,
9,TNA,THANE,1,18:43:00,18:45:00,2,159,1,
10,DR,DADAR,1,19:13:00,19:15:00,2,183,1,
11,CSTM,MUMBAI CST,1,19:40:00,Destination,0,192,1,


Train,11033,DARBHANGA EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,PUNE,PUNE JN,1,Source,16:15:00,0,0,1,
2,DD,DAUND JN,1,17:30:00,17:45:00,15,76,1,
3,ANG,AHMADNAGAR,1,19:02:00,19:05:00,3,160,1,
4,BAP,BELAPUR,1,20:08:00,20:10:00,2,227,1,
5,KPG,KOPARGAON,1,20:43:00,20:45:00,2,271,1,
6,MMR,MANMAD JN,1,21:50:00,21:55:00,5,313,1,
7,BSL,BHUSAVAL JN,1,00:10:00,00:25:00,15,497,2,
8,KNW,KHANDWA,1,02:45:00,02:50:00,5,620,2,
9,ET,ITARSI JN,1,05:10:00,05:20:00,10,804,2,
10,PPI,PIPARIYA,1,06:13:00,06:15:00,2,871,2,
11,NU,NARSINGHPUR,1,07:13:00,07:15:00,2,965,2,
12,JBP,JABALPUR,1,08:40:00,08:50:00,10,1049,2,
13,KTE,KATNI,1,10:25:00,10:30:00,5,1139,2,
14,STA,SATNA,1,11:50:00,12:00:00,10,1238,2,
15,ALD,ALLAHABAD JN,1,15:50:00,16:15:00,1,1415,2,
16,ALY,ALLAHABAD CITY,1,16:28:00,16:30:00,2,1418,2,
17,GYN,GYANPUR ROAD,1,17:41:00,17:43:00,2,1480,2,
18,MUV,MANDUADIH,1,19:20:00,19:25:00,5,1536,2,
19,BSB,VARANASI JN,1,19:45:00,20:00:00,15,1540,2,
20,BCY,VARANASI CITY,1,20:08:00,20:10:00,2,1544,2,
21,ARJ,AUNRIHAR JN,1,21:00:00,21:05:00,5,1575,2,
22,GCT,GHAZIPUR CITY,1,21:50:00,21:55:00,5,1615,2,
23,BUI,BALLIA,1,23:20:00,23:25:00,5,1680,2,
24,CPR,CHHAPRA,1,01:05:00,01:15:00,10,1745,3,
25,SEE,SONPUR JN,1,02:20:00,02:30:00,10,1799,3,
26,HJP,HAJIPUR JN,1,02:43:00,02:45:00,2,1804,3,
27,MFP,MUZAFFARPUR JN,1,03:35:00,03:45:00,10,1858,3,
28,SPJ,SAMASTIPUR JN,1,05:15:00,05:35:00,20,1910,3,
29,LSI,LAHERIA SARAI,1,06:24:00,06:26:00,2,1943,3,
30,DBG,DARBHANGA JN,1,06:45:00,Destination,0,1947,3,


Train,11034,DBG PUNE EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,DBG,DARBHANGA JN,1,Source,17:00:00,0,0,1,
2,LSI,LAHERIA SARAI,1,17:08:00,17:10:00,2,5,1,
3,SPJ,SAMASTIPUR JN,1,17:55:00,18:18:00,23,38,1,
4,MFP,MUZAFFARPUR JN,1,19:07:00,19:17:00,10,90,1,
5,HJP,HAJIPUR JN,1,21:15:00,21:16:00,1,143,1,
6,SEE,SONPUR JN,1,21:26:00,21:31:00,5,149,1,
7,CPR,CHHAPRA,1,22:40:00,22:50:00,10,203,1,
8,BUI,BALLIA,1,23:45:00,23:50:00,5,268,1,
9,GCT,GHAZIPUR CITY,1,01:00:00,01:05:00,5,333,2,
10,ARJ,AUNRIHAR JN,1,02:15:00,02:20:00,5,373,2,
11,BCY,VARANASI CITY,1,03:04:00,03:05:00,1,404,2,
12,BSB,VARANASI JN,1,03:30:00,03:45:00,15,408,2,
13,MUV,MANDUADIH,1,03:54:00,03:55:00,1,412,2,
14,GYN,GYANPUR ROAD,1,05:30:00,05:31:00,1,468,2,
15,ALY,ALLAHABAD CITY,1,07:10:00,07:12:00,2,530,2,
16,ALD,ALLAHABAD JN,1,07:20:00,07:45:00,1,532,2,
17,STA,SATNA,1,10:50:00,11:00:00,10,710,2,
18,KTE,KATNI,1,12:05:00,12:10:00,5,808,2,
19,JBP,JABALPUR,1,13:35:00,13:45:00,10,899,2,
20,NU,NARSINGHPUR,1,14:52:00,14:54:00,2,983,2,
21,PPI,PIPARIYA,1,15:54:00,15:56:00,2,1077,2,
22,ET,ITARSI JN,1,17:55:00,18:10:00,15,1144,2,
23,KNW,KHANDWA,1,20:40:00,20:45:00,5,1328,2,
24,BSL,BHUSAVAL JN,1,22:20:00,22:30:00,10,1451,2,
25,MMR,MANMAD JN,1,00:35:00,00:40:00,5,1635,3,
26,KPG,KOPARGAON,1,02:29:00,02:30:00,1,1677,3,
27,BAP,BELAPUR,1,03:09:00,03:10:00,1,1721,3,
28,ANG,AHMADNAGAR,1,04:10:00,04:13:00,3,1788,3,
29,DD,DAUND JN,1,06:05:00,06:20:00,15,1872,3,
30,PUNE,PUNE JN,1,08:05:00,Destination,0,1947,3,


Train,11045,DIKSHABHOOMI EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,KOP,C SHAHUMHARAJ T,1,Source,23:45:00,0,0,1,
2,MRJ,MIRAJ JN,1,00:40:00,00:45:00,5,48,2,
3,STR,SATARA,1,03:17:00,03:20:00,3,181,2,
4,PUNE,PUNE JN,1,07:25:00,07:40:00,15,327,2,
5,DD,DAUND JN,1,09:20:00,09:40:00,20,402,2,
6,ANG,AHMADNAGAR,1,11:35:00,11:37:00,2,486,2,
7,KPG,KOPARGAON,1,13:18:00,13:20:00,2,597,2,
8,MMR,MANMAD JN,1,14:20:00,14:25:00,5,639,2,
9,AWB,AURANGABAD,1,16:25:00,16:30:00,5,750,2,
10,J,JALNA,1,17:20:00,17:21:00,1,813,2,
11,PBN,PARBHANI JN,1,20:00:00,20:01:00,1,928,2,
12,NED,H SAHIB NANDED,1,21:55:00,22:00:00,5,987,2,
13,KNVT,KINWAT,1,00:59:00,01:00:00,1,1184,3,
14,ADB,ADILABAD,1,02:00:00,02:05:00,5,1252,3,
15,MJRI,MAJRI JN,1,05:13:00,05:15:00,2,1352,3,
16,SEGM,SEVAGRAM,1,06:11:00,06:13:00,2,1439,3,
17,NGP,NAGPUR,1,07:35:00,07:45:00,10,1516,3,
18,NRKR,NARKHER,1,08:53:00,08:55:00,2,1601,3,
19,PAR,PANDHURNA,1,09:11:00,09:13:00,2,1619,3,
20,AMLA,AMLA JN,1,10:21:00,10:23:00,2,1683,3,
21,BZU,BETUL,1,10:38:00,10:40:00,2,1706,3,
22,GDYA,GHORADONGRI,1,11:21:00,11:23:00,2,1742,3,
23,ET,ITARSI JN,1,13:40:00,13:50:00,10,1813,3,
24,JBP,JABALPUR,1,17:05:00,17:15:00,10,2058,3,
25,KTE,KATNI,1,18:35:00,18:40:00,5,2149,3,
26,STA,SATNA,1,20:15:00,20:25:00,10,2247,3,
27,ALD,ALLAHABAD JN,1,01:00:00,01:25:00,1,2425,4,
28,ALY,ALLAHABAD CITY,1,01:35:00,01:37:00,2,2427,4,
29,GYN,GYANPUR ROAD,1,02:48:00,02:50:00,2,2489,4,
30,BSB,VARANASI JN,1,04:40:00,04:50:00,10,2549,4,
31,MGS,MUGHAL SARAI JN,1,05:40:00,05:50:00,10,2566,4,
32,BBU,BHABUA ROAD,1,06:28:00,06:30:00,2,2618,4,
33,SSM,SASARAM,1,07:02:00,07:04:00,2,2666,4,
34,DOS,DEHRI ON SONE,1,07:21:00,07:23:00,2,2684,4,
35,GAYA,GAYA JN,1,08:53:00,09:03:00,10,2769,4,
36,KQR,KODERMA,1,10:06:00,10:08:00,2,2845,4,
37,PNME,PARASNATH,1,11:00:00,11:02:00,2,2920,4,
38,DHN,DHANBAD JN,1,12:00:00,Destination,0,2967,4,


Train,11046,DIKSHABHUMI EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,DHN,DHANBAD JN,1,Source,13:55:00,0,0,1,
2,PNME,PARASNATH,1,14:31:00,14:32:00,1,48,1,
3,KQR,KODERMA,1,15:26:00,15:27:00,1,123,1,
4,GAYA,GAYA JN,1,16:50:00,17:00:00,10,199,1,
5,DOS,DEHRI ON SONE,1,18:02:00,18:04:00,2,284,1,
6,SSM,SASARAM,1,18:18:00,18:19:00,1,302,1,
7,BBU,BHABUA ROAD,1,18:50:00,18:51:00,1,350,1,
8,MGS,MUGHAL SARAI JN,1,19:57:00,20:12:00,15,402,1,
9,BSB,VARANASI JN,1,20:55:00,21:15:00,20,419,1,
10,GYN,GYANPUR ROAD,1,22:19:00,22:20:00,1,479,1,
11,ALY,ALLAHABAD CITY,1,00:15:00,00:17:00,2,541,2,
12,ALD,ALLAHABAD JN,1,00:30:00,00:55:00,1,543,2,
13,STA,SATNA,1,03:45:00,03:55:00,10,721,2,
14,KTE,KATNI,1,05:00:00,05:05:00,5,819,2,
15,JBP,JABALPUR,1,06:25:00,06:35:00,10,910,2,
16,ET,ITARSI JN,1,10:30:00,10:45:00,15,1155,2,
17,GDYA,GHORADONGRI,1,11:48:00,11:49:00,1,1225,2,
18,BZU,BETUL,1,12:27:00,12:28:00,1,1262,2,
19,AMLA,AMLA JN,1,12:52:00,12:54:00,2,1285,2,
20,PAR,PANDHURNA,1,13:31:00,13:32:00,1,1348,2,
21,NRKR,NARKHER,1,14:09:00,14:10:00,1,1367,2,
22,NGP,NAGPUR,1,15:30:00,15:40:00,10,1452,2,
23,SEGM,SEVAGRAM,1,16:44:00,16:45:00,1,1528,2,
24,MJRI,MAJRI JN,1,18:39:00,18:40:00,1,1616,2,
25,ADB,ADILABAD,1,23:00:00,23:10:00,10,1716,2,
26,KNVT,KINWAT,1,23:44:00,23:45:00,1,1784,2,
27,NED,H SAHIB NANDED,1,03:40:00,03:45:00,5,1981,3,
28,PBN,PARBHANI JN,1,05:28:00,05:30:00,2,2040,3,
29,J,JALNA,1,07:44:00,07:45:00,1,2155,3,
30,AWB,AURANGABAD,1,09:00:00,09:05:00,5,2218,3,
31,MMR,MANMAD JN,1,12:30:00,12:35:00,5,2329,3,
32,KPG,KOPARGAON,1,13:39:00,13:40:00,1,2371,3,
33,ANG,AHMADNAGAR,1,15:27:00,15:30:00,3,2482,3,
34,DD,DAUND JN,1,17:15:00,17:30:00,15,2566,3,
35,PUNE,PUNE JN,1,19:15:00,19:30:00,15,2641,3,
36,STR,SATARA,1,22:52:00,22:55:00,3,2787,3,
37,MRJ,MIRAJ JN,1,02:25:00,02:30:00,5,2920,4,
38,KOP,C SHAHUMHARAJ T,1,03:45:00,Destination,0,2968,4,


Train,11065,DARBHANGA EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,LTT,LOKMANYATILAK T,1,Source,12:15:00,0,0,1,
2,TNA,THANE,1,12:33:00,12:35:00,2,18,1,
3,KYN,KALYAN JN,1,12:55:00,13:00:00,5,38,1,
4,IGP,IGATPURI,1,14:40:00,14:45:00,5,121,1,
5,NK,NASIK ROAD,1,15:30:00,15:35:00,5,172,1,
6,MMR,MANMAD JN,1,16:30:00,16:35:00,5,245,1,
7,CSN,CHALISGAON JN,1,17:23:00,17:25:00,2,312,1,
8,PC,PACHORA JN,1,17:53:00,17:55:00,2,357,1,
9,JL,JALGAON JN,1,18:28:00,18:30:00,2,405,1,
10,BSL,BHUSAVAL JN,1,19:00:00,19:10:00,10,429,1,
11,BAU,BURHANPUR,1,19:58:00,20:00:00,2,483,1,
12,KNW,KHANDWA,1,21:35:00,21:40:00,5,552,1,
13,ET,ITARSI JN,1,00:15:00,00:25:00,10,736,2,
14,PPI,PIPARIYA,1,01:18:00,01:20:00,2,803,2,
15,NU,NARSINGHPUR,1,02:20:00,02:22:00,2,897,2,
16,JBP,JABALPUR,1,03:40:00,03:50:00,10,981,2,
17,KTE,KATNI,1,05:10:00,05:15:00,5,1072,2,
18,MYR,MAIHAR,1,06:05:00,06:07:00,2,1135,2,
19,STA,SATNA,1,06:50:00,07:00:00,10,1170,2,
20,MKP,MANIKPUR JN,1,08:50:00,08:55:00,5,1247,2,
21,NYN,NAINI,1,10:20:00,10:22:00,2,1340,2,
22,ALD,ALLAHABAD JN,1,10:40:00,11:00:00,20,1348,2,
23,ALY,ALLAHABAD CITY,1,11:13:00,11:15:00,2,1350,2,
24,GYN,GYANPUR ROAD,1,12:23:00,12:25:00,2,1412,2,
25,BHLP,BHULANPUR,1,13:21:00,13:23:00,2,1466,2,
26,BSB,VARANASI JN,1,14:00:00,14:10:00,10,1472,2,
27,BCY,VARANASI CITY,1,14:18:00,14:20:00,2,1476,2,
28,ARJ,AUNRIHAR JN,1,15:08:00,15:10:00,2,1507,2,
29,GCT,GHAZIPUR CITY,1,15:45:00,15:50:00,5,1547,2,
30,YFP,YUSUFPUR,1,16:13:00,16:15:00,2,1567,2,
31,BUI,BALLIA,1,17:35:00,17:40:00,5,1612,2,
32,SIP,SURAIMANPUR,1,18:44:00,18:46:00,2,1649,2,
33,CPR,CHHAPRA,1,19:30:00,19:50:00,20,1677,2,
34,DGA,DIGHWARA,1,20:20:00,20:22:00,2,1708,2,
35,SEE,SONPUR JN,1,20:50:00,20:55:00,5,1731,2,
36,HJP,HAJIPUR JN,1,21:08:00,21:10:00,2,1737,2,
37,MFP,MUZAFFARPUR JN,1,22:30:00,22:40:00,10,1790,2,
38,SPJ,SAMASTIPUR JN,1,23:50:00,00:15:00,1,1842,3,
39,LSI,LAHERIA SARAI,1,00:49:00,00:54:00,5,1875,3,
40,DBG,DARBHANGA JN,1,01:20:00,Destination,0,1880,3,


Train,11066,DBG LTT EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,DBG,DARBHANGA JN,1,Source,13:10:00,0,0,1,
2,LSI,LAHERIA SARAI,1,13:18:00,13:23:00,5,5,1,
3,SPJ,SAMASTIPUR JN,1,14:20:00,14:45:00,1,38,1,
4,MFP,MUZAFFARPUR JN,1,15:40:00,15:50:00,10,90,1,
5,HJP,HAJIPUR JN,1,16:59:00,17:00:00,1,143,1,
6,SEE,SONPUR JN,1,17:10:00,17:15:00,5,149,1,
7,DGA,DIGHWARA,1,17:35:00,17:36:00,1,172,1,
8,CPR,CHHAPRA,1,18:25:00,18:40:00,15,203,1,
9,SIP,SURAIMANPUR,1,19:17:00,19:18:00,1,231,1,
10,BUI,BALLIA,1,20:05:00,20:10:00,5,268,1,
11,YFP,YUSUFPUR,1,20:44:00,20:45:00,1,314,1,
12,GCT,GHAZIPUR CITY,1,21:10:00,21:15:00,5,333,1,
13,ARJ,AUNRIHAR JN,1,21:55:00,21:57:00,2,373,1,
14,BCY,VARANASI CITY,1,22:57:00,22:58:00,1,404,1,
15,BSB,VARANASI JN,1,23:10:00,23:20:00,10,408,1,
16,BHLP,BHULANPUR,1,23:34:00,23:35:00,1,414,1,
17,GYN,GYANPUR ROAD,1,00:42:00,00:43:00,1,468,2,
18,ALY,ALLAHABAD CITY,1,02:30:00,02:32:00,2,530,2,
19,ALD,ALLAHABAD JN,1,02:45:00,03:05:00,20,532,2,
20,NYN,NAINI,1,03:37:00,03:40:00,3,540,2,
21,MKP,MANIKPUR JN,1,05:05:00,05:10:00,5,633,2,
22,STA,SATNA,1,06:15:00,06:25:00,10,710,2,
23,MYR,MAIHAR,1,06:48:00,06:50:00,2,745,2,
24,KTE,KATNI,1,08:20:00,08:25:00,5,808,2,
25,JBP,JABALPUR,1,09:40:00,09:50:00,10,899,2,
26,NU,NARSINGHPUR,1,10:53:00,10:55:00,2,983,2,
27,PPI,PIPARIYA,1,11:53:00,11:55:00,2,1077,2,
28,ET,ITARSI JN,1,13:55:00,14:10:00,15,1144,2,
29,KNW,KHANDWA,1,16:55:00,17:00:00,5,1328,2,
30,BAU,BURHANPUR,1,17:54:00,17:55:00,1,1397,2,
31,BSL,BHUSAVAL JN,1,18:50:00,19:00:00,10,1451,2,
32,JL,JALGAON JN,1,19:29:00,19:30:00,1,1475,2,
33,MMR,MANMAD JN,1,21:10:00,21:15:00,5,1635,2,
34,NK,NASIK ROAD,1,22:19:00,22:20:00,1,1708,2,
35,IGP,IGATPURI,1,00:24:00,00:25:00,1,1759,3,
36,KYN,KALYAN JN,1,02:30:00,02:35:00,5,1842,3,
37,TNA,THANE,1,02:54:00,02:55:00,1,1862,3,
38,LTT,LOKMANYATILAK T,1,03:40:00,Destination,0,1880,3,


Train,12123,DECCAN QUEEN,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,CSTM,MUMBAI CST,1,Source,17:10:00,0,0,1,
2,KJT,KARJAT,1,18:33:00,18:35:00,2,100,1,
3,LNL,LONAVALA,1,19:18:00,19:20:00,2,128,1,
4,SVJR,SHIVAJINAGAR,1,20:08:00,20:10:00,2,190,1,
5,PUNE,PUNE JN,1,20:25:00,Destination,0,192,1,


Train,12124,DECCAN QUEEN,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,PUNE,PUNE JN,1,Source,07:15:00,0,0,1,
2,LNL,LONAVALA,1,08:08:00,08:10:00,2,64,1,
3,DR,DADAR,1,10:03:00,10:05:00,2,183,1,
4,CSTM,MUMBAI CST,1,10:25:00,Destination,0,192,1,


Train,12131,DR SAINAGAR EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,DR,DADAR,1,Source,21:45:00,0,0,1,
2,TNA,THANE,1,22:03:00,22:05:00,2,25,1,
3,KYN,KALYAN JN,1,22:22:00,22:25:00,3,45,1,
4,IGP,IGATPURI,1,00:05:00,00:10:00,5,128,2,
5,NK,NASIK ROAD,1,00:52:00,00:55:00,3,179,2,
6,MMR,MANMAD JN,1,01:50:00,01:55:00,5,252,2,
7,KPG,KOPARGAON,1,02:59:00,03:00:00,1,295,2,
8,SNSI,SAINAGAR SHIRDI,1,03:51:00,Destination,0,336,2,


Train,12181,DAYODAYA EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,JBP,JABALPUR,1,Source,20:25:00,0,0,1,
2,SHR,SIHORA ROAD,1,20:55:00,20:57:00,2,39,1,
3,KTE,KATNI,1,21:40:00,21:50:00,10,91,1,
4,DMO,DAMOH,1,23:28:00,23:30:00,2,202,1,
5,SGO,SAUGOR,1,00:23:00,00:25:00,2,280,2,
6,MAKR,MALKHEDI,1,01:48:00,01:50:00,2,350,2,
7,MNV,MUNGAOLI,1,02:18:00,02:20:00,2,380,2,
8,ASKN,ASHOK NAGAR,1,03:08:00,03:10:00,2,426,2,
9,GUNA,GUNA,1,04:05:00,04:10:00,5,470,2,
10,RTA,RUTHIYAI,1,04:40:00,04:45:00,5,491,2,
11,CAG,CHHABRA GUGOR,1,05:20:00,05:22:00,2,530,2,
12,BAZ,BARAN,1,06:02:00,06:04:00,2,588,2,
13,ATH,ANTAH,1,06:22:00,06:24:00,2,610,2,
14,KOTA,KOTA JN,1,07:30:00,07:40:00,10,655,2,
15,SWM,SAWAI MADHOPUR,1,09:20:00,09:40:00,20,763,2,
16,CKB,CHAUTH KA BRWRA,1,09:55:00,09:57:00,2,784,2,
17,BNLW,BANSTHALI NIWAI,1,10:31:00,10:33:00,2,828,2,
18,DPA,DURGAPURA,1,11:12:00,11:14:00,2,887,2,
19,JP,JAIPUR,1,11:50:00,12:00:00,10,894,2,
20,FL,PHULERA JN,1,12:40:00,12:42:00,2,949,2,
21,KSG,KISHANGARH,1,13:19:00,13:21:00,2,1000,2,
22,AII,AJMER JN,1,14:20:00,Destination,0,1028,2,


Train,12646,ERS MILLENUM EX,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,NZM,H NIZAMUDDIN,1,Source,05:55:00,0,0,1,
2,MTJ,MATHURA JN,1,07:55:00,08:00:00,5,134,1,
3,RKM,RAJA KI MANDI,1,08:38:00,08:40:00,2,184,1,
4,AGC,AGRA CANTT,1,09:10:00,09:15:00,5,188,1,
5,GWL,GWALIOR,1,10:56:00,11:01:00,5,306,1,
6,JHS,JHANSI JN,1,12:35:00,12:43:00,8,403,1,
7,BINA,BINA JN,1,15:00:00,15:05:00,5,556,1,
8,BPL,BHOPAL JN,1,17:05:00,17:10:00,5,694,1,
9,ET,ITARSI JN,1,18:55:00,19:00:00,5,786,1,
10,BZU,BETUL,1,20:29:00,20:31:00,2,893,1,
11,NGP,NAGPUR,1,23:15:00,23:25:00,10,1083,1,
12,BPQ,BALHARSHAH,1,02:55:00,03:05:00,10,1294,2,
13,WL,WARANGAL,1,06:27:00,06:32:00,5,1536,2,
14,BZA,VIJAYAWADA JN,1,11:00:00,11:15:00,15,1745,2,
