
Train,11050,AHMEDABAD EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
70,NLKR,NILOKHERI,1,07:44:00,07:46:00,2,1668,3,
71,KKDE,KURUKSHETRA JN,1,08:22:00,08:24:00,2,1685,3,
72,SHDM,SHAHBAD MARKNDA,1,08:43:00,08:45:00,2,1707,3,
73,UMB,AMBALA CANT JN,1,09:20:00,09:40:00,20,1727,3,
74,UBC,AMBALA CITY,1,09:52:00,09:54:00,2,1734,3,
75,RPJ,RAJPURA JN,1,10:11:00,10:13:00,2,1754,3,
76,PTA,PATIALA,1,10:35:00,10:40:00,5,1780,3,
77,NBA,NABHA,1,11:10:00,11:12:00,2,1805,3,
78,DUI,DHURI JN,1,11:45:00,11:50:00,5,1833,3,
79,MET,MALERKOTLA,1,12:07:00,12:09:00,2,1850,3,
80,AHH,AHMADGARH,1,12:48:00,12:50:00,2,1869,3,
81,LDH,LUDHIANA JN,1,13:25:00,13:35:00,10,1895,3,
82,PHR,PHILLAUR JN,1,13:58:00,14:00:00,2,1908,3,
83,GRY,GORAYA,1,14:12:00,14:14:00,2,1920,3,
84,PGW,PHAGWARA JN,1,14:25:00,14:27:00,2,1930,3,
85,JRC,JALANDHAR CANT,1,14:41:00,14:43:00,2,1947,3,
86,JUC,JALANDHAR CITY,1,14:55:00,15:00:00,5,1951,3,
87,BEAS,BEAS,1,15:39:00,15:41:00,2,1988,3,
88,JNL,JANDIALA,1,15:59:00,16:01:00,2,2011,3,
89,ASR,AMRITSAR JN,1,16:30:00,00:00:00,0,2030,3,
90,,,,00:00:00,00:00:00,0,,0,
91,CSN,CHALISGAON JN,2,05:03:00,06:00:00,9,312,2,
92,BFJ,BHORAS BUDRUKH,2,06:08:00,06:09:00,1,319,2,
93,JMD,JAMDHA,2,06:17:00,06:19:00,2,326,2,
94,RM,RAJMANE,2,06:29:00,06:30:00,1,335,2,
95,MWK,MORDAD TANDA,2,06:36:00,06:37:00,1,341,2,
96,SHF,SHIRUD,2,06:45:00,06:47:00,2,348,2,
97,BRVR,BORVIHIR,2,06:56:00,06:57:00,1,355,2,
98,MHAD,MOHADI PRGN LNG,2,07:07:00,07:09:00,2,366,2,
99,DHI,DHULE,2,07:15:00,Destination,0,369,2,


Train,11058,ASR LTT EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,ASR,AMRITSAR JN,1,Source,08:30:00,0,0,1,
2,JNL,JANDIALA,1,08:45:00,08:47:00,2,19,1,
3,BEAS,BEAS,1,09:08:00,09:10:00,2,43,1,
4,KRE,KARTARPUR,1,09:31:00,09:33:00,2,64,1,
5,JUC,JALANDHAR CITY,1,09:45:00,09:55:00,10,79,1,
6,JRC,JALANDHAR CANT,1,10:11:00,10:13:00,2,84,1,
7,PGW,PHAGWARA JN,1,10:27:00,10:29:00,2,100,1,
8,GRY,GORAYA,1,10:40:00,10:42:00,2,110,1,
9,PHR,PHILLAUR JN,1,10:54:00,10:56:00,2,123,1,
10,LDH,LUDHIANA JN,1,11:20:00,11:30:00,10,136,1,
11,AHH,AHMADGARH,1,12:23:00,12:25:00,2,162,1,
12,MET,MALERKOTLA,1,12:40:00,12:42:00,2,181,1,
13,DUI,DHURI JN,1,13:01:00,13:05:00,4,198,1,
14,NBA,NABHA,1,13:26:00,13:28:00,2,225,1,
15,PTA,PATIALA,1,13:51:00,13:53:00,2,251,1,
16,RPJ,RAJPURA JN,1,14:33:00,14:35:00,2,276,1,
17,UBC,AMBALA CITY,1,14:56:00,14:58:00,2,296,1,
18,UMB,AMBALA CANT JN,1,15:20:00,15:50:00,6,304,1,
19,SHDM,SHAHBAD MARKNDA,1,16:09:00,16:11:00,2,323,1,
20,KKDE,KURUKSHETRA JN,1,16:34:00,16:36:00,2,345,1,
21,NLKR,NILOKHERI,1,16:51:00,16:53:00,2,362,1,
22,TRR,TARAORI,1,17:00:00,17:02:00,2,366,1,
23,KUN,KARNAL,1,17:16:00,17:18:00,2,379,1,
24,GRA,GHARAUNDA,1,17:34:00,17:36:00,2,396,1,
25,PNP,PANIPAT JN,1,17:56:00,17:58:00,2,413,1,
26,SMK,SAMALKHA,1,18:13:00,18:15:00,2,430,1,
27,GNU,GANAUR,1,18:26:00,18:28:00,2,442,1,
28,SNP,SONIPAT,1,18:46:00,18:48:00,2,458,1,
29,RDDE,RATHDHANA,1,19:01:00,19:03:00,2,468,1,
30,NUR,NARELA,1,19:11:00,19:13:00,2,475,1,
31,ANDI,ADRSH NGR DELHI,1,19:30:00,19:32:00,2,492,1,
32,SZM,SUBZI MANDI,1,19:51:00,19:53:00,2,498,1,
33,NDLS,NEW DELHI,1,20:20:00,20:50:00,6,502,1,
34,NZM,H NIZAMUDDIN,1,21:03:00,21:05:00,2,509,1,
35,FDB,FARIDABAD,1,21:27:00,21:29:00,2,530,1,
36,BVH,BALLABGARH,1,21:42:00,21:44:00,2,538,1,
