
Train,2864,YPR HWH PREMIUM,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,


Train,11005,PUDUCHERRY EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
24,BTJL,BHATKAL,1,07:44:00,07:46:00,2,614,2,
25,HNA,HONNAVAR,1,08:32:00,08:34:00,2,672,2,
26,KAWR,KARWAR,1,10:02:00,10:04:00,2,768,2,
27,MAO,MADGAON,1,11:30:00,11:40:00,10,850,2,
28,THVM,THIVIM,1,12:32:00,12:34:00,2,914,2,
29,KKW,KANKAVALI,1,14:00:00,14:02:00,2,1028,2,
30,RN,RATNAGIRI,1,15:40:00,15:45:00,5,1184,2,
31,MNI,MANGAON,1,19:12:00,19:14:00,2,1427,2,
32,PNVL,PANVEL,1,21:20:00,21:25:00,5,1547,2,
33,BIRD,BHIWANDI ROAD,1,22:23:00,22:25:00,2,1587,2,
34,BSR,VASAI ROAD,1,23:10:00,23:15:00,5,1614,2,
35,BOR,BOISAR,1,00:06:00,00:08:00,2,1665,3,
36,BL,VALSAD,1,01:28:00,01:30:00,2,1760,3,
37,NVS,NAVSARI,1,02:19:00,02:20:00,1,1799,3,
38,ST,SURAT,1,03:10:00,03:22:00,12,1829,3,
39,AKV,ANKLESHWAR JN,1,04:02:00,04:04:00,2,1878,3,
40,BRC,VADODARA JN,1,05:12:00,05:22:00,10,1958,3,
41,ANND,ANAND JN,1,05:54:00,05:56:00,2,1994,3,
42,MAN,MANINAGAR,1,06:56:00,06:58:00,2,2054,3,
43,ADI,AHMEDABAD JN,1,07:15:00,07:35:00,20,2058,3,
44,VG,VIRAMGAM JN,1,08:37:00,08:39:00,2,2123,3,
45,SUNR,SURENDRANAGAR,1,10:03:00,10:05:00,2,2188,3,
46,RJT,RAJKOT JN,1,12:13:00,12:28:00,15,2304,3,
47,HAPA,HAPA,1,13:46:00,13:48:00,2,2380,3,
48,JAM,JAMNAGAR,1,14:02:00,14:05:00,3,2389,3,
49,KMBL,KHAMBHALIYA,1,15:13:00,15:15:00,2,2443,3,
50,DWK,DWARKA,1,16:28:00,16:30:00,2,2528,3,
51,OKHA,OKHA,1,17:25:00,Destination,0,2557,3,


Train,16343,AMRITHA EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,TVC,TRIVANDRUM CNTL,1,Source,22:30:00,0,0,1,
2,VAK,VARKALASIVAGIRI,1,23:04:00,23:05:00,1,41,1,
3,QLN,KOLLAM JN,1,23:35:00,23:40:00,5,65,1,
4,KPY,KARUNAGAPALLI,1,23:57:00,23:58:00,1,92,1,
5,KYJ,KAYANKULAM JN,1,00:20:00,00:22:00,2,106,2,
6,MVLK,MAVELIKARA,1,00:31:00,00:32:00,1,114,2,
7,CNGR,CHENGANNUR,1,00:44:00,00:45:00,1,126,2,
8,TRVL,TIRUVALLA,1,00:54:00,00:55:00,1,135,2,
9,CGY,CHANGANASERI,1,01:04:00,01:05:00,1,143,2,
10,KTYM,KOTTAYAM,1,01:30:00,01:35:00,5,161,2,
11,ERN,ERNAKULAM TOWN,1,03:05:00,03:10:00,5,223,2,
12,IPL,IDAPLLI,1,03:19:00,03:20:00,1,229,2,
13,AWY,ALUVA,1,03:33:00,03:35:00,2,240,2,
14,TCR,THRISUR,1,04:30:00,04:33:00,3,295,2,
15,SRR,SHORANUR JN,1,05:35:00,05:45:00,10,327,2,
16,OTP,OTTAPPALAM,1,06:04:00,06:05:00,1,340,2,
17,PGT,PALAKKAD,1,07:15:00,07:35:00,20,372,2,
18,PGTN,PALGHAT TOWN,1,08:00:00,Destination,0,376,2,


Train,16345,NETRAVATI EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,LTT,LOKMANYATILAK T,1,Source,11:40:00,0,0,1,
2,TNA,THANE,1,12:08:00,12:10:00,2,18,1,
3,PNVL,PANVEL,1,12:50:00,12:55:00,5,52,1,
4,ROHA,ROHA,1,14:42:00,14:45:00,3,130,1,
5,CHI,CHIPLUN,1,17:40:00,17:50:00,10,309,1,
6,RN,RATNAGIRI,1,19:30:00,19:35:00,5,415,1,
7,KUDL,KUDAL,1,21:56:00,21:58:00,2,610,1,
8,THVM,THIVIM,1,22:40:00,22:42:00,2,685,1,
9,KRMI,KARMALI,1,22:58:00,23:00:00,2,709,1,
10,MAO,MADGAON,1,23:30:00,23:40:00,10,749,1,
11,CNO,CANCONA,1,00:12:00,00:14:00,2,795,2,
12,KAWR,KARWAR,1,00:48:00,00:50:00,2,831,2,
13,KT,KUMTA,1,02:00:00,02:02:00,2,908,2,
14,MRDW,MURDESHWAR,1,02:40:00,02:42:00,2,964,2,
15,BTJL,BHATKAL,1,03:00:00,03:02:00,2,985,2,
16,BYNR,MOOKAMBIKA ROAD,1,03:18:00,03:20:00,2,1007,2,
17,KUDA,KUNDAPURA,1,03:50:00,03:52:00,2,1054,2,
18,UD,UDUPI,1,04:20:00,04:22:00,2,1098,2,
19,SL,SURATHKAL,1,05:02:00,05:04:00,2,1157,2,
20,MAJN,MANGALORE JN,1,06:00:00,06:10:00,10,1179,2,
21,KGQ,KASARAGOD,1,06:48:00,06:50:00,2,1231,2,
22,KZE,KANHANGAD,1,07:10:00,07:12:00,2,1254,2,
23,CHV,CHARVATTUR,1,07:28:00,07:30:00,2,1268,2,
24,PAY,PAYYANUR,1,07:43:00,07:45:00,2,1283,2,
25,KPQ,KANNAPURAM,1,07:58:00,08:00:00,2,1302,2,
26,CAN,KANNUR,1,08:45:00,08:50:00,5,1316,2,
27,TLY,THALASSERY,1,09:10:00,09:12:00,2,1337,2,
28,BDJ,VADAKARA,1,09:30:00,09:32:00,2,1359,2,
29,CLT,KOZHIKODE,1,10:20:00,10:25:00,5,1406,2,
30,PGI,PARPANANGADI,1,10:48:00,10:50:00,2,1431,2,
31,TIR,TIRUR,1,11:08:00,11:10:00,2,1447,2,
32,KTU,KUTTIPPURAM,1,11:28:00,11:30:00,2,1462,2,
33,SRR,SHORANUR JN,1,12:15:00,12:20:00,5,1492,2,
34,TCR,THRISUR,1,12:55:00,12:58:00,3,1524,2,
35,DINR,DIVINE NAGAR,1,13:29:00,13:30:00,1,1557,2,
36,AWY,ALUVA,1,13:50:00,13:52:00,2,1579,2,
37,ERS,ERNAKULAM JN,1,14:30:00,14:35:00,5,1598,2,
38,SRTL,SHERTALAI,1,15:06:00,15:07:00,1,1632,2,
39,ALLP,ALLEPPEY,1,15:40:00,15:43:00,3,1655,2,
40,AMPA,AMBALAPUZHA,1,15:55:00,15:56:00,1,1667,2,
41,HAD,HARIPPAD,1,16:10:00,16:11:00,1,1686,2,
42,KYJ,KAYANKULAM JN,1,16:25:00,16:27:00,2,1699,2,
43,KPY,KARUNAGAPALLI,1,16:40:00,16:41:00,1,1712,2,
44,QLN,KOLLAM JN,1,17:25:00,17:30:00,5,1739,2,
45,VAK,VARKALASIVAGIRI,1,17:48:00,17:50:00,2,1763,2,
46,TVC,TRIVANDRUM CNTL,1,19:25:00,Destination,0,1804,2,


Train,16346,NETRAVATHI EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,TVC,TRIVANDRUM CNTL,1,Source,09:50:00,0,0,1,
2,VAK,VARKALASIVAGIRI,1,10:23:00,10:25:00,2,41,1,
3,QLN,KOLLAM JN,1,10:50:00,10:55:00,5,65,1,
4,KPY,KARUNAGAPALLI,1,11:18:00,11:20:00,2,92,1,
5,KYJ,KAYANKULAM JN,1,11:33:00,11:35:00,2,106,1,
6,HAD,HARIPPAD,1,11:51:00,11:53:00,2,119,1,
7,AMPA,AMBALAPUZHA,1,12:10:00,12:12:00,2,137,1,
8,ALLP,ALLEPPEY,1,12:52:00,12:55:00,3,149,1,
9,SRTL,SHERTALAI,1,13:18:00,13:20:00,2,173,1,
10,ERS,ERNAKULAM JN,1,14:05:00,14:10:00,5,206,1,
11,AWY,ALUVA,1,14:31:00,14:33:00,2,225,1,
12,DINR,DIVINE NAGAR,1,14:49:00,14:51:00,2,247,1,
13,TCR,THRISUR,1,15:22:00,15:25:00,3,280,1,
14,SRR,SHORANUR JN,1,16:40:00,16:50:00,10,313,1,
15,KTU,KUTTIPPURAM,1,17:17:00,17:19:00,2,343,1,
16,TIR,TIRUR,1,17:40:00,17:42:00,2,358,1,
17,PGI,PARPANANGADI,1,17:58:00,18:00:00,2,374,1,
18,CLT,KOZHIKODE,1,19:00:00,19:05:00,5,399,1,
19,BDJ,VADAKARA,1,19:38:00,19:40:00,2,445,1,
20,TLY,THALASSERY,1,19:58:00,20:00:00,2,467,1,
21,CAN,KANNUR,1,20:35:00,20:40:00,5,488,1,
22,KPQ,KANNAPURAM,1,21:00:00,21:02:00,2,502,1,
23,PAY,PAYYANUR,1,21:20:00,21:22:00,2,521,1,
24,CHV,CHARVATTUR,1,21:35:00,21:37:00,2,536,1,
25,KZE,KANHANGAD,1,21:55:00,21:57:00,2,551,1,
26,KGQ,KASARAGOD,1,22:16:00,22:18:00,2,574,1,
27,MAJN,MANGALORE JN,1,23:20:00,23:30:00,10,625,1,
28,SL,SURATHKAL,1,00:12:00,00:14:00,2,647,2,
29,UD,UDUPI,1,00:56:00,00:58:00,2,706,2,
30,KUDA,KUNDAPURA,1,01:32:00,01:34:00,2,751,2,
31,BYNR,MOOKAMBIKA ROAD,1,02:06:00,02:08:00,2,798,2,
32,BTJL,BHATKAL,1,02:26:00,02:28:00,2,820,2,
33,MRDW,MURDESHWAR,1,02:50:00,02:52:00,2,840,2,
34,KT,KUMTA,1,03:30:00,03:32:00,2,896,2,
35,KAWR,KARWAR,1,04:36:00,04:38:00,2,973,2,
36,CNO,CANCONA,1,05:04:00,05:06:00,2,1010,2,
37,MAO,MADGAON,1,05:45:00,05:55:00,10,1055,2,
38,KRMI,KARMALI,1,06:24:00,06:26:00,2,1095,2,
39,THVM,THIVIM,1,06:46:00,06:48:00,2,1120,2,
40,KUDL,KUDAL,1,08:00:00,08:02:00,2,1195,2,
41,RN,RATNAGIRI,1,11:05:00,11:10:00,5,1390,2,
42,CHI,CHIPLUN,1,12:40:00,12:50:00,10,1496,2,
43,ROHA,ROHA,1,15:20:00,15:25:00,5,1675,2,
44,PNVL,PANVEL,1,16:40:00,16:45:00,5,1752,2,
45,TNA,THANE,1,17:33:00,17:35:00,2,1787,2,
46,LTT,LOKMANYATILAK T,1,18:20:00,Destination,0,1804,2,


Train,16347,MANGALORE EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,TVC,TRIVANDRUM CNTL,1,Source,20:40:00,0,0,1,
2,TVP,TRIVANDRUM PETT,1,20:44:00,20:45:00,1,3,1,
3,CRY,CHIRAYINKIL,1,21:06:00,21:07:00,1,29,1,
4,KVU,KADAKAVUR,1,21:11:00,21:12:00,1,32,1,
5,VAK,VARKALASIVAGIRI,1,21:24:00,21:25:00,1,41,1,
6,PVU,PARAVUR,1,21:36:00,21:37:00,1,53,1,
7,MYY,MAYYANAD,1,21:41:00,21:42:00,1,56,1,
8,QLN,KOLLAM JN,1,21:55:00,22:00:00,5,65,1,
9,STKT,SASTHANKOTTA,1,22:16:00,22:17:00,1,85,1,
10,KPY,KARUNAGAPALLI,1,22:24:00,22:25:00,1,92,1,
11,KYJ,KAYANKULAM JN,1,22:45:00,22:47:00,2,106,1,
12,MVLK,MAVELIKARA,1,22:55:00,22:57:00,2,114,1,
13,CNGR,CHENGANNUR,1,23:09:00,23:10:00,1,126,1,
14,TRVL,TIRUVALLA,1,23:19:00,23:20:00,1,135,1,
15,CGY,CHANGANASERI,1,23:29:00,23:30:00,1,143,1,
16,KTYM,KOTTAYAM,1,23:53:00,23:58:00,5,161,1,
17,PVRD,PIRAVAM ROAD,1,00:29:00,00:30:00,1,192,2,
18,ERN,ERNAKULAM TOWN,1,01:25:00,01:30:00,5,223,2,
19,AWY,ALUVA,1,01:50:00,01:53:00,3,240,2,
20,AFK,ANGAMALI,1,02:02:00,02:03:00,1,249,2,
21,CKI,CHALAKUDI,1,02:19:00,02:20:00,1,264,2,
22,IJK,IRINJALAKUDA,1,02:29:00,02:30:00,1,271,2,
23,TCR,THRISUR,1,03:02:00,03:05:00,3,295,2,
24,WKI,WADAKANCHERI,1,03:19:00,03:20:00,1,311,2,
25,SRR,SHORANUR JN,1,04:00:00,04:10:00,10,327,2,
26,PTB,PATTAMBI,1,04:24:00,04:25:00,1,339,2,
27,KTU,KUTTIPPURAM,1,04:44:00,04:45:00,1,357,2,
28,TIR,TIRUR,1,05:01:00,05:03:00,2,372,2,
29,TA,TANUR,1,05:11:00,05:12:00,1,380,2,
30,PGI,PARPANANGADI,1,05:18:00,05:20:00,2,388,2,
31,VLI,VALLIKUNNU,1,05:23:00,05:25:00,2,393,2,
32,FK,FEROK,1,05:41:00,05:43:00,2,403,2,
33,CLT,KOZHIKODE,1,06:05:00,06:10:00,5,413,2,
34,QLD,QUILANDI,1,06:32:00,06:33:00,1,438,2,
35,BDJ,VADAKARA,1,06:50:00,06:52:00,2,460,2,
36,MAHE,MAHE,1,07:00:00,07:02:00,2,472,2,
37,TLY,THALASSERY,1,07:10:00,07:12:00,2,482,2,
38,CAN,KANNUR,1,07:50:00,07:55:00,5,502,2,
39,KPQ,KANNAPURAM,1,08:08:00,08:10:00,2,517,2,
40,PAZ,PAYANGADI,1,08:18:00,08:20:00,2,524,2,
41,PAY,PAYYANUR,1,08:28:00,08:30:00,2,536,2,
42,TKQ,TRIKARPUR,1,08:33:00,08:35:00,2,542,2,
43,CHV,CHARVATTUR,1,08:43:00,08:45:00,2,551,2,
44,NLE,NILESHWAR,1,08:51:00,08:53:00,2,556,2,
45,KZE,KANHANGAD,1,09:03:00,09:05:00,2,565,2,
46,BFR,BEKAL FORT,1,09:11:00,09:13:00,2,574,2,
47,KQK,KOTIKULAM,1,09:18:00,09:20:00,2,579,2,
48,KGQ,KASARAGOD,1,09:33:00,09:35:00,2,588,2,
49,KMQ,KUMBLA,1,09:42:00,09:44:00,2,600,2,
50,MAQ,MANGALORE CNTL,1,10:55:00,Destination,0,634,2,


Train,16348,TRIVANDRUM EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,MAQ,MANGALORE CNTL,1,Source,14:20:00,0,0,1,
2,KMQ,KUMBLA,1,14:54:00,14:55:00,1,34,1,
3,KGQ,KASARAGOD,1,15:05:00,15:07:00,2,46,1,
4,KQK,KOTIKULAM,1,15:16:00,15:17:00,1,56,1,
5,KZE,KANHANGAD,1,15:28:00,15:30:00,2,69,1,
6,NLE,NILESHWAR,1,15:39:00,15:40:00,1,79,1,
7,CHV,CHARVATTUR,1,15:47:00,15:48:00,1,84,1,
8,TKQ,TRIKARPUR,1,15:52:00,15:53:00,1,92,1,
9,PAY,PAYYANUR,1,16:00:00,16:02:00,2,98,1,
10,PAZ,PAYANGADI,1,16:11:00,16:12:00,1,110,1,
11,KPQ,KANNAPURAM,1,16:19:00,16:20:00,1,118,1,
12,CAN,KANNUR,1,17:00:00,17:05:00,5,132,1,
13,TLY,THALASSERY,1,17:24:00,17:25:00,1,153,1,
14,MAHE,MAHE,1,17:34:00,17:35:00,1,162,1,
15,BDJ,VADAKARA,1,17:44:00,17:45:00,1,175,1,
16,QLD,QUILANDI,1,18:04:00,18:05:00,1,197,1,
17,CLT,KOZHIKODE,1,18:45:00,18:50:00,5,221,1,
18,FK,FEROK,1,19:04:00,19:05:00,1,231,1,
19,VLI,VALLIKUNNU,1,19:18:00,19:19:00,1,241,1,
20,PGI,PARPANANGADI,1,19:26:00,19:27:00,1,246,1,
21,TA,TANUR,1,19:36:00,19:37:00,1,254,1,
22,TIR,TIRUR,1,19:47:00,19:48:00,1,262,1,
23,KTU,KUTTIPPURAM,1,20:06:00,20:07:00,1,277,1,
24,PTB,PATTAMBI,1,20:24:00,20:25:00,1,296,1,
25,SRR,SHORANUR JN,1,21:00:00,21:10:00,10,307,1,
26,WKI,WADAKANCHERI,1,21:34:00,21:35:00,1,323,1,
27,TCR,THRISUR,1,21:58:00,22:01:00,3,340,1,
28,IJK,IRINJALAKUDA,1,22:27:00,22:28:00,1,364,1,
29,CKI,CHALAKUDI,1,22:37:00,22:38:00,1,370,1,
30,AFK,ANGAMALI,1,22:51:00,22:52:00,1,385,1,
31,AWY,ALUVA,1,23:01:00,23:03:00,2,394,1,
32,ERN,ERNAKULAM TOWN,1,23:35:00,23:40:00,5,411,1,
33,PVRD,PIRAVAM ROAD,1,00:14:00,00:15:00,1,443,2,
34,KTYM,KOTTAYAM,1,00:55:00,01:00:00,5,474,2,
35,CGY,CHANGANASERI,1,01:18:00,01:20:00,2,491,2,
36,TRVL,TIRUVALLA,1,01:28:00,01:30:00,2,499,2,
37,CNGR,CHENGANNUR,1,01:38:00,01:40:00,2,508,2,
38,MVLK,MAVELIKARA,1,01:53:00,01:55:00,2,521,2,
39,KYJ,KAYANKULAM JN,1,02:13:00,02:15:00,2,529,2,
40,KPY,KARUNAGAPALLI,1,02:29:00,02:30:00,1,542,2,
41,STKT,SASTHANKOTTA,1,02:38:00,02:39:00,1,550,2,
42,QLN,KOLLAM JN,1,03:05:00,03:10:00,5,569,2,
43,MYY,MAYYANAD,1,03:19:00,03:20:00,1,578,2,
44,PVU,PARAVUR,1,03:24:00,03:25:00,1,582,2,
45,VAK,VARKALASIVAGIRI,1,03:36:00,03:37:00,1,593,2,
46,KVU,KADAKAVUR,1,03:46:00,03:47:00,1,602,2,
47,CRY,CHIRAYINKIL,1,03:51:00,03:52:00,1,605,2,
48,TVP,TRIVANDRUM PETT,1,04:19:00,04:20:00,1,631,2,
49,TVC,TRIVANDRUM CNTL,1,04:45:00,Destination,0,634,2,


Train,16349,RAJYA RANI EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,TVC,TRIVANDRUM CNTL,1,Source,22:30:00,0,0,1,
2,VAK,VARKALASIVAGIRI,1,23:04:00,23:05:00,1,41,1,
3,QLN,KOLLAM JN,1,23:35:00,23:40:00,5,65,1,
4,KPY,KARUNAGAPALLI,1,23:57:00,23:58:00,1,92,1,
5,KYJ,KAYANKULAM JN,1,00:20:00,00:22:00,2,106,2,
6,MVLK,MAVELIKARA,1,00:31:00,00:32:00,1,114,2,
7,CNGR,CHENGANNUR,1,00:44:00,00:45:00,1,126,2,
8,TRVL,TIRUVALLA,1,00:54:00,00:55:00,1,135,2,
9,CGY,CHANGANASERI,1,01:04:00,01:05:00,1,143,2,
10,KTYM,KOTTAYAM,1,01:30:00,01:35:00,5,161,2,
11,ERN,ERNAKULAM TOWN,1,03:05:00,03:10:00,5,223,2,
12,IPL,IDAPLLI,1,03:19:00,03:20:00,1,229,2,
13,AWY,ALUVA,1,03:33:00,03:35:00,2,240,2,
14,TCR,THRISUR,1,04:30:00,04:33:00,3,295,2,
15,SRR,SHORANUR JN,1,05:35:00,06:00:00,1,327,2,
16,VPZ,VAILAPUZHA,1,06:09:00,06:10:00,1,337,2,
17,CQA,CHERUKARA,1,06:19:00,06:20:00,1,348,2,
18,AAM,ANGADIPPURAM,1,06:29:00,06:30:00,1,355,2,
19,PKQ,PATTIKKAD,1,06:37:00,06:38:00,1,360,2,
20,MLTR,MELATTUR,1,06:44:00,06:45:00,1,368,2,
21,TUV,TUVVUR,1,06:50:00,06:51:00,1,374,2,
22,VNB,VANIYAMBALAM,1,06:59:00,07:00:00,1,383,2,
23,NIL,NILAMBUR ROAD,1,07:25:00,Destination,0,393,2,


Train,16382,CAPE MUMBAI EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,CAPE,KANYAKUMARI,1,Source,05:45:00,0,0,1,
2,NCJ,NAGERCOIL JN,1,06:05:00,06:10:00,5,16,1,
3,ERL,ERANIEL,1,06:29:00,06:30:00,1,34,1,
4,KZT,KULITTHURAI,1,06:43:00,06:45:00,2,49,1,
5,PASA,PARASHSHALA,1,06:53:00,06:54:00,1,57,1,
6,NYY,NEYYATTINKARA,1,07:13:00,07:15:00,2,70,1,
7,TVC,TRIVANDRUM CNTL,1,07:55:00,08:05:00,10,87,1,
8,CRY,CHIRAYINKIL,1,08:26:00,08:27:00,1,116,1,
9,KVU,KADAKAVUR,1,08:31:00,08:32:00,1,119,1,
10,VAK,VARKALASIVAGIRI,1,08:42:00,08:44:00,2,128,1,
11,PVU,PARAVUR,1,08:55:00,08:56:00,1,139,1,
12,QLN,KOLLAM JN,1,09:20:00,09:25:00,5,152,1,
13,KPY,KARUNAGAPALLI,1,09:43:00,09:45:00,2,179,1,
14,KYJ,KAYANKULAM JN,1,10:03:00,10:05:00,2,192,1,
15,MVLK,MAVELIKARA,1,10:14:00,10:15:00,1,200,1,
16,CNGR,CHENGANNUR,1,10:39:00,10:40:00,1,213,1,
17,TRVL,TIRUVALLA,1,10:49:00,10:50:00,1,222,1,
18,CGY,CHANGANASERI,1,10:58:00,11:00:00,2,230,1,
19,KTYM,KOTTAYAM,1,11:45:00,11:50:00,5,247,1,
20,ERN,ERNAKULAM TOWN,1,13:25:00,13:30:00,5,310,1,
21,AWY,ALUVA,1,13:50:00,13:53:00,3,326,1,
22,AFK,ANGAMALI,1,14:03:00,14:05:00,2,336,1,
23,CKI,CHALAKUDI,1,14:18:00,14:20:00,2,351,1,
24,IJK,IRINJALAKUDA,1,14:28:00,14:30:00,2,357,1,
25,TCR,THRISUR,1,14:57:00,15:00:00,3,381,1,
26,WKI,WADAKANCHERI,1,15:19:00,15:20:00,1,398,1,
27,OTP,OTTAPPALAM,1,16:08:00,16:10:00,2,427,1,
28,PGT,PALAKKAD,1,16:40:00,16:45:00,5,458,1,
29,CBE,COIMBATORE JN,1,18:00:00,18:05:00,5,513,1,
30,TUP,TIRUPPUR,1,18:48:00,18:50:00,2,563,1,
31,ED,ERODE JN,1,19:50:00,20:00:00,10,613,1,
32,SA,SALEM JN,1,20:55:00,21:00:00,5,676,1,
33,JTJ,JOLARPETTAI,1,23:15:00,23:20:00,5,796,1,
34,KPD,KATPADI JN,1,00:45:00,00:50:00,5,879,2,
35,PAK,PAKALA JN,1,02:19:00,02:20:00,1,942,2,
36,TPTY,TIRUPATI,1,03:35:00,03:40:00,5,984,2,
37,RU,RENIGUNTA JN,1,04:00:00,04:20:00,20,994,2,
38,KOU,KODURU,1,04:49:00,04:50:00,1,1034,2,
39,RJP,RAZAMPETA,1,05:18:00,05:20:00,2,1068,2,
40,NRE,NANDALUR,1,05:38:00,05:40:00,2,1079,2,
41,HX,CUDDAPAH,1,06:28:00,06:30:00,2,1119,2,
42,YA,YERRAGUNTLA,1,07:08:00,07:10:00,2,1158,2,
43,KDP,KONDAPURAM,1,08:18:00,08:20:00,2,1199,2,
44,TU,TADIPATRI,1,08:43:00,08:45:00,2,1227,2,
45,GY,GOOTY,1,09:58:00,10:00:00,2,1275,2,
46,GTL,GUNTAKAL JN,1,10:55:00,11:15:00,20,1303,2,
47,AD,ADONI,1,11:49:00,11:50:00,1,1355,2,
48,MALM,MANTHRALAYAM RD,1,12:48:00,12:50:00,2,1396,2,
49,RC,RAICHUR,1,13:38:00,13:40:00,2,1424,2,
50,YG,YADGIR,1,14:36:00,14:38:00,2,1493,2,
51,WADI,WADI,1,17:35:00,17:40:00,5,1532,2,
52,GR,GULBARGA,1,18:15:00,18:18:00,3,1569,2,
53,SUR,SOLAPUR JN,1,20:10:00,20:20:00,10,1681,2,
54,KWV,KURDUVADI,1,21:43:00,21:45:00,2,1760,2,
55,DD,DAUND JN,1,23:15:00,23:20:00,5,1869,2,
56,PUNE,PUNE JN,1,00:35:00,00:50:00,15,1945,3,
57,LNL,LONAVALA,1,01:54:00,01:55:00,1,2009,3,
58,KJT,KARJAT,1,02:44:00,02:45:00,1,2037,3,
59,KYN,KALYAN JN,1,03:30:00,03:35:00,5,2083,3,
60,TNA,THANE,1,03:52:00,03:55:00,3,2103,3,
61,DR,DADAR,1,04:25:00,04:30:00,5,2128,3,
62,CSTM,MUMBAI CST,1,04:50:00,Destination,0,2136,3,


Train,16518,YESVANTPUR EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,CAN,KANNUR,1,Source,16:30:00,0,0,1,
2,PAY,PAYYANUR,1,16:56:00,16:58:00,2,34,1,
3,KZE,KANHANGAD,1,17:23:00,17:25:00,2,63,1,
4,KGQ,KASARAGOD,1,17:43:00,17:45:00,2,86,1,
5,MAQ,MANGALORE CNTL,1,18:55:00,20:55:00,0,132,1,
6,MAJN,MANGALORE JN,1,21:08:00,21:10:00,2,137,1,
7,BNTL,BANTAWALA,1,21:43:00,21:45:00,2,157,1,
8,KBPR,KABAKAPUTTUR,1,22:13:00,22:15:00,2,181,1,
9,SBHR,SUBRAHMANYA RD,1,22:50:00,23:00:00,10,223,1,
10,SKLR,SAKLESHPUR,1,01:25:00,01:35:00,10,334,2,
11,HAS,HASSAN,1,02:50:00,03:05:00,15,376,2,
12,HLN,HOLE NARSIPUR,1,03:33:00,03:35:00,2,408,2,
13,KRNR,KRISHNARAJNAGAR,1,04:23:00,04:25:00,2,462,2,
14,MYS,MYSORE JN,1,05:20:00,05:40:00,20,496,2,
15,MYA,MANDYA,1,06:23:00,06:25:00,2,542,2,
16,KGI,KENGERI,1,07:38:00,07:39:00,1,622,2,
17,SBC,BANGALORE CY JN,1,08:15:00,08:20:00,5,635,2,
18,YPR,YESVANTPUR JN,1,08:55:00,Destination,0,640,2,


Train,16524,YESVANTPUR EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,KAWR,KARWAR,1,Source,14:55:00,0,0,1,
2,ANKL,ANKOLA,1,15:18:00,15:20:00,2,40,1,
3,GOK,GOKARNA ROAD,1,15:32:00,15:34:00,2,51,1,
4,KT,KUMTA,1,15:54:00,15:56:00,2,78,1,
5,HNA,HONNAVAR,1,16:06:00,16:08:00,2,97,1,
6,MRDW,MURDESHWAR,1,16:28:00,16:30:00,2,134,1,
7,BTJL,BHATKAL,1,16:50:00,16:52:00,2,154,1,
8,BYNR,MOOKAMBIKA ROAD,1,17:06:00,17:08:00,2,176,1,
9,KUDA,KUNDAPURA,1,17:40:00,17:42:00,2,223,1,
10,BKJ,BARKUR,1,17:56:00,17:58:00,2,245,1,
11,UD,UDUPI,1,18:14:00,18:16:00,2,268,1,
12,MULK,MULKI,1,18:50:00,18:52:00,2,314,1,
13,SL,SURATHKAL,1,19:02:00,19:04:00,2,326,1,
14,MAQ,MANGALORE CNTL,1,20:10:00,20:55:00,21,355,1,
15,MAJN,MANGALORE JN,1,21:08:00,21:10:00,2,360,1,
16,BNTL,BANTAWALA,1,21:43:00,21:45:00,2,379,1,
17,KBPR,KABAKAPUTTUR,1,22:13:00,22:15:00,2,404,1,
18,SBHR,SUBRAHMANYA RD,1,22:50:00,23:00:00,10,446,1,
19,SKLR,SAKLESHPUR,1,01:25:00,01:35:00,10,557,2,
20,HAS,HASSAN,1,02:50:00,03:05:00,15,599,2,
21,HLN,HOLE NARSIPUR,1,03:33:00,03:35:00,2,630,2,
22,KRNR,KRISHNARAJNAGAR,1,04:23:00,04:25:00,2,684,2,
23,MYS,MYSORE JN,1,05:20:00,05:40:00,20,719,2,
24,MYA,MANDYA,1,06:23:00,06:25:00,2,764,2,
25,KGI,KENGERI,1,07:38:00,07:39:00,1,845,2,
